,district,address,room_count,area,floors,house_type,price,latitude,longitude,quadrant,price_psqm
2244,Ziepniekkalns,Bērzupes 8,2,42.0,2/3,Hrušč.,350.0,56.91633615,24.09407549362959,471.0,8.333333333333334
2266,Imanta,Progresa 6,3,60.0,5/5,LT proj.,300.0,56.9538085,24.03313800386988,900.0,5.0
2282,Šampēteris-Pleskodāle,Lielirbes 11,2,68.0,8/24,Specpr.,500.0,56.9348241,24.0428561,650.0,7.352941176470588
2286,centrs,Čaka 104,2,45.0,4/6,Renov.,470.0,56.9589717,24.1416594,984.0,10.444444444444445
2289,Vecrīga,Anglikāņu 3,4,128.0,3/5,Renov.,1750.0,56.9500255,24.102002860817016,850.0,13.671875
2311,Sarkandaugava,Hāpsalas 5,1,24.0,4/5,Specpr.,215.0,57.000974,24.12127055,1547.0,8.958333333333334
2312,Āgenskalns,Mārupes 19,1,24.0,2/2,Staļina,275.0,56.929084,24.069233696426902,592.0,11.458333333333334
2318,Daugavgrīva,Birzes 46,2,56.0,3/5,103.,320.0,57.03601395,24.024907264002685,1969.0,5.714285714285714
2327,Sarkandaugava,Tvaika 34,1,23.0,1/5,Renov.,150.0,57.0024524,24.118910937501568,1547.0,6.521739130434782
2330,Mežciems,Līduma 16A16,1,16.0,1/2,Specpr.,150.0,56.971972,24.2327488,1192.0,9.375
2334,centrs,Rūpniecības 25,2,54.0,5/6,Jaun.,800.0,56.9658687,24.1034862,1103.0,14.814814814814815
2345,centrs,Bruņinieku 117,3,120.0,3/3,Renov.,850.0,56.961172,24.1229335,1044.0,7.083333333333333
2346,Ķengarags,Naujenes 2,2,43.0,1/5,LT proj.,310.0,56.9080394,24.18921175,364.0,7.209302325581396
2370,Ķengarags,Prūšu 19,2,42.0,3/4,LT proj.,300.0,56.91245,24.1916997,427.0,7.142857142857143
2380,centrs,Merķeļa 3,1,25.0,3/5,P. kara,100.0,56.9484388,24.1192559,854.0,4.0
2382,Vecmīlgrāvis,Dombrovska 45,1,33.0,8/9,602.,200.0,57.03471075,24.100380867994417,1921.0,6.0606060606060606
2385,Vecmīlgrāvis,Gāles 17,1,20.0,2/5,Specpr.,130.0,57.0327263,24.11829003173853,1925.0,6.5
2391,centrs,Barona 70,2,40.0,3/3,P. kara,420.0,56.9559117,24.1310776,982.0,10.5
2392,Vecrīga,Teātra 12,3,135.0,3/7,Specpr.,1500.0,56.9487711,24.11241277884078,853.0,11.11111111111111
2395,Pļavnieki,Kaudzīšu 12,1,34.0,4/9,602.,260.0,56.93921845,24.200619360448947,744.0,7.647058823529412
2397,centrs,Brīvības 76,4,175.0,2/6,Renov.,1400.0,56.9580796,24.1250916,981.0,8.0
2400,Imanta,Lazdu 41,4,117.0,1/1,Jaun.,1500.0,56.95209355,23.98635436064066,890.0,12.820512820512821
2403,Šampēteris-Pleskodāle,Lielirbes 13-85,3,90.0,13/30,Jaun.,850.0,56.9348241,24.0428561,650.0,9.444444444444445
2416,centrs,Tallinas 33,2,48.0,1/5,P. kara,360.0,56.9627049,24.138035,1047.0,7.5
2421,centrs,Lāčplēša 62,1,15.0,6/6,P. kara,150.0,56.9510949,24.1313031,919.0,10.0
2429,Purvciems,Lielvārdes 119,2,38.0,2/5,LT proj.,370.0,56.957395250000005,24.203396948795856,997.0,9.736842105263158
2431,Ziepniekkalns,Zaļenieku 21,1,60.0,2/3,Jaun.,600.0,56.906906,24.09811735,346.0,10.0
2433,centrs,Bruņinieku 81,3,65.0,5/5,P. kara,350.0,56.961172,24.1229335,1044.0,5.384615384615385
2437,centrs,Brīvības 83,1,23.0,6/6,P. kara,110.0,56.96037245,24.130121682560187,982.0,4.782608695652174
2441,Aplokciems,Briežu 9,1,27.0,2/6,Jaun.,350.0,57.02292935,24.13751306587765,1803.0,12.962962962962964
2446,Āgenskalns,Kalnciema 9А,2,60.0,3/10,Jaun.,650.0,56.94607165,24.077743603989468,846.0,10.833333333333334
2450,Ķengarags,Prūšu 11,2,50.0,2/5,LT proj.,280.0,56.91416455,24.18728847131392,426.0,5.6
2452,centrs,Čaka 79,4,75.0,2/4,P. kara,500.0,56.9566209,24.13669,983.0,6.666666666666667
2458,centrs,Miķeļa 1,4,100.0,2/5,Specpr.,750.0,56.95596325,24.1001553,976.0,7.5
2464,Imanta,Kooperatīva 4a,1,28.0,5/5,LT proj.,260.0,56.95370895,24.0309530040765,899.0,9.285714285714286
2467,Ziepniekkalns,Valdeķu 64,1,47.0,5/9,Specpr.,300.0,56.900498,24.09395031329417,219.0,6.382978723404255
2468,Imanta,Kurzemes pr. 124,3,62.0,3/9,602.,260.0,56.9523843,24.0351851,900.0,4.193548387096774
2471,centrs,Eksporta 8A,2,55.0,4/5,Staļina,415.0,56.9593516,24.0983542,976.0,7.545454545454546
2474,Mežciems,Vecā Biķernieku 41,3,87.0,4/5,Jaun.,700.0,56.9583779,24.246396207991804,1005.0,8.045977011494253
2477,Bolderāja,Lielupes 1,1,30.0,1/4,103.,200.0,57.038622450000005,24.046476020514376,1973.0,6.666666666666667
2483,centrs,Barona 14,1,20.0,1/5,Renov.,495.0,56.95062615,24.1211541446892,917.0,24.75
2488,Pļavnieki,Deglava 104,3,76.0,6/9,119.,500.0,56.9448978,24.210387196542264,809.0,6.578947368421052
2492,Šampēteris-Pleskodāle,Volguntes 3-3,2,45.0,1/2,P. kara,220.0,56.9375435,24.0395706,712.0,4.888888888888889
