district,address,room_count,area,floors,house_type,price,latitude,longitude
Imanta,Dammes 30,3,66,3/5,LT proj.,"55,900  €",56.9653262,24.011869486161416
Teika,Ūnijas 30,2,54,5/5,Specpr.,"76,450  €",56.96702145,24.17228684552264
Purvciems,Andromedas g. 5,1,28,5/5,LT proj.,"30,000  €",56.9604406,24.1986457
centrs,Vāgnera 16,3,97,2/3,P. kara,"249,000  €",,
Mežciems,Malienas 1k-2,3,158,1/4,Jaun.,"315,000  €",56.9747477,24.228160456868665
centrs,Republikas laukums 3,3,107,5/6,Jaun.,"348,000  €",56.9555576,24.0996114
centrs,Dzirnavu 10,3,88,3/5,P. kara,"195,000  €",56.9609418,24.10796360617932
centrs,Piena 4,2,45,2/4,Renov.,"104,190  €",,
centrs,Piena 4,2,45,2/4,Renov.,"103,270  €",,
centrs,Katrīnas d. 6,2,56,2/2,Renov.,"128,110  €",57.3961035,21.5695761
centrs,Tomsona 25,2,41,5/5,Hrušč.,"59,500  €",56.9659839,24.1258447
centrs,Brīvības 110,5,124,4/6,P. kara,720  €/mēn.,56.9615596,24.134123
Purvciems,Braslas 53,2,49,1/6,Jaun.,"87,000  €",56.95747179999999,24.16698908820361
centrs,Brīvības 148,2,58,2/5,P. kara,"75,000  €",56.9537963,24.117328
Jugla,Veldres 5,2,45,1/5,LT proj.,270  €/mēn.,56.9773867,24.24515555
Čiekurkalns,Inčukalna 2,2,47,2/5,Renov.,"109,000  €",,
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,Jaun.,"239,860  €",51.77014725,-1.2649910410071945
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,Jaun.,"239,860  €",51.77014725,-1.2649910410071945
centrs,Birznieka-Upīša 20A,4,131,5/7,Jaun.,"239,860  €",56.9487525,24.1248249
Šampēteris-Pleskodāle,Irlavas 12,2,54,1/5,104.,"58,000  €",56.9403406,24.0350842
centrs,Brīvības 179,2,39,6/6,Renov.,360  €/mēn.,56.9537963,24.117328
Āgenskalns,Alīses 10,2,46,3/5,Hrušč.,"79,000  €",56.9470505,24.06595997447654
Imanta,Slokas 195,2,51,3/5,LT proj.,"45,500  €",56.96237035,24.01677641136364
Jugla,Silciema 13,3,56,1/5,LT proj.,"46,900  €",56.98601545,24.23942087217935
Mežaparks,Inčukalna 2,4,84,2/5,Renov.,"199,000  €",56.9960407,24.14246281831603
Pļavnieki,Pļavnieku 2d,1,46,5/12,104.,"39,000  €",56.94172435,24.208586960998204
Sarkandaugava,Viestura pr. 37,2,46,3/9,Specpr.,"36,500  €",,
centrs,Rūpniecības 22,3,100,7/7,Specpr.,"1,200  €/mēn.",56.961440800000005,24.10364513737165
Mežciems,Kaivas 31/3,2,60,3/4,Jaun.,500  €/mēn.,56.9571247,24.2475937
Sarkandaugava,Patversmes 3/1,1,43,6/6,M. ģim.,"31,000  €",56.990941,24.1329725
Mežaparks,Inčukalna 2,2,47,2/5,Renov.,"109,000  €",56.9960407,24.14246281831603
centrs,Elijas 5,5,105,2/5,P. kara,"139,000  €",,
Dzegužkalns,Purva 5,4,124,3/3,Jaun.,"175,800  €",,
Mežciems,Kaivas 50/5,2,53,3/5,Jaun.,450  €/mēn.,56.9571247,24.2475937
Vecmīlgrāvis,Kalngales 6,2,52,2/9,602.,"46,600  €",57.0391219,24.10282369160808
Purvciems,Kastrānes 1,1,16,1/5,Renov.,"25,700  €",56.9659974,24.1766569
Ķengarags,Salaspils 6,1,31,2/2,LT proj.,"40,000  €",56.9224989,24.1797086
Sarkandaugava,Ziemeļu 3,3,78,1/6,Renov.,"99,800  €",56.999203300000005,24.11881692500331
Ziepniekkalns,Ziepniekkalna 64/1,2,71,1/5,Jaun.,"125,000  €",56.901134,24.133145
Sarkandaugava,Viestura pr. 97,2,45,8/9,Specpr.,"40,000  €",,
Jugla,Murjāņu 48,2,45,2/5,LT proj.,"38,900  €",56.9777671,24.250166840644773
Mežaparks,Viestura pr. 97,2,45,8/9,Specpr.,"40,000  €",,
centrs,Matīsa 80,1,25,3/6,P. kara,280  €/mēn.,56.9564621,24.134618
Purvciems,Žagatu 6,3,98,7/9,Jaun.,700  €/mēn.,56.964910450000005,24.18440476903595
centrs,Akas 2,3,61,4/4,P. kara,"95,000  €",56.9557572,24.1237349
Pļavnieki,J. Vācieša 4,2,51,8/9,602.,310  €/mēn.,,
Purvciems,Purvciema 53,1,42,8/9,M. ģim.,"36,900  €",56.9543059,24.17911070525553
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,P. kara,"87,285  €",51.77014725,-1.2649910410071945
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,P. kara,"87,285  €",51.77014725,-1.2649910410071945
centrs,Tallinas 79,2,69,1/5,P. kara,"87,285  €",56.9570023,24.14795128739946
Imanta,Kleistu 11,4,180,16/16,Jaun.,"1,200  €/mēn.",56.96325465,24.02210360870407
Pļavnieki,Rembates 8,3,77,3/10,Jaun.,800  €/mēn.,56.94077425,24.230074618165425
Jugla,Pāles 11,1,32,1/2,Jaun.,400  €/mēn.,56.9861877,24.245519555
centrs,Brīvības 46,5,180,4/6,Renov.,"2,950  €/mēn.",56.9553029,24.1198413
centrs,Brīvības 99a,2,32,4/5,P. kara,"48,000  €",56.9614481,24.1323024
centrs,Blaumaņa 5,5,117,1/5,Renov.,900  €/mēn.,56.9550369,24.1223636
Torņakalns,Bauskas 29k2,2,100,6/5,103.,"120,000  €",56.921327,24.09535874455335
Purvciems,Dzelzavas 37,4,74,1/9,602.,"58,500  €",56.95922675,24.182087016206157
Imanta,Kurzemes pr. 106,3,63,9/9,602.,"68,500  €",56.9573979,24.0351632
Ķengarags,Aviācijas 6,2,56,1/3,Staļina,"59,000  €",56.90202975,24.20330240000001
Mežciems,Hipokrāta 17,2,53,9/9,602.,370  €/mēn.,56.96614445,24.23733730225384
Āgenskalns,Altonavas 22,1,23,2/2,P. kara,"23,900  €",,
Āgenskalns,Altonavas 22,1,20,2/2,P. kara,"23,500  €",,
Zolitūde,Bieziņa 3,2,56,9/10,119.,"48,000  €",56.94454465,24.01739264995262
Iļģuciems,Buļļu 42a,1,44,7/9,104.,"39,000  €",56.9682471,24.0497274
Čiekurkalns,Čiekurkalna 1. šķ. l. ,3,91,1/1,Renov.,385  €/mēn.,,
Purvciems,Dzelzavas 37,2,49,3/9,602.,"46,500  €",56.95922675,24.182087016206157
centrs,Pētersalas 11,2,58,3/4,Staļina,550  €/mēn.,,
centrs,Pētersalas 11,2,58,3/4,Staļina,"140,000  €",,
Pļavnieki,Tīnūžu 14,3,63,7/9,602.,"62,000  €",56.93408535,24.20825948017022
Purvciems,Viršu 4,2,60,4/12,104.,"64,900  €",56.952352000000005,24.179609624266007
Purvciems,Ieriķu 60,3,61,3/9,Specpr.,400  €/mēn.,56.96518825,24.18607691219764
Krasta r-ns,Maskavas 267A,3,60,1/5,LT proj.,"50,000  €",,
Iļģuciems,Dzirciema 61,2,48,8/9,467.,"56,500  €",56.96331115,24.05423811540512
centrs,Tallinas 57,2,52,2/3,P. kara,"53,000  €",56.9606081,24.14135246209069
centrs,Tallinas 57 k-1,2,47,2/3,P. kara,"45,900  €",56.9604177,24.14166064868572
centrs,Tomsona 2,3,113,1/6,P. kara,"165,000  €",56.96346405,24.12405597786933
Krasta r-ns,Salacas 26,2,29,2/2,Renov.,"43,000  €",,
Ķengarags,Maskavas 256,2,44,3/5,Hrušč.,"40,000  €",56.9102534,24.17626616769989
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,Renov.,"36,759  €",51.77014725,-1.2649910410071945
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,Renov.,"36,759  €",51.77014725,-1.2649910410071945
Krasta r-ns,Salacas 26,2,25,1/2,Renov.,"36,759  €",,
Teika,Palmu 7,3,80,2/9,Specpr.,"88,500  €",56.979271,24.18067963870989
Pļavnieki,Pavasara g. 6,3,64,7/9,602.,"72,000  €",56.9346184,24.198101
centrs,Tallinas 77,1,34,2/5,Renov.,35  €/dienā,56.9573928,24.147415786427946
Ķengarags,Ikšķiles 11,2,50,5/5,LT proj.,"38,500  €",56.90356345,24.20637898010604
Ķengarags,Krustpils 75 k-1,2,50,1/2,Specpr.,"34,500  €",,
Zasulauks,Vecā Jūrmalas g. 1b,1,36,8/12,Čehu pr.,"45,000  €",56.9511873,24.0464082
Purvciems,Purvciema 40,1,40,3/5,M. ģim.,"30,000  €",56.9533911,24.175018
Ķengarags,Maskavas 411,1,31,3/5,LT proj.,320  €/mēn.,56.89990005,24.20486065
Imanta,M. Krūmu 10,3,63,9/9,602.,"62,000  €",,
Jugla,Vangažu 7,1,43,2/12,Specpr.,200  €/mēn.,56.9871937,24.2275114
Ķengarags,Višķu 13,1,32,2/5,LT proj.,"37,500  €",56.8999122,24.212410100000007
Purvciems,Stirnu 39,3,60,4/5,LT proj.,"69,300  €",56.961021,24.188230924482184
Jugla,Murjāņu 56,3,59,3/5,LT proj.,"53,000  €",56.97781945,24.25242755000004
Purvciems,Dudajeva g. 5,2,54,5/5,LT proj.,"56,000  €",56.9575254,24.1942844
Jugla,Salamandras 8,3,63,2/2,P. kara,"70,000  €",56.992751,24.230124898383536
Pļavnieki,Zebiekstes 3,2,62,4/9,119.,"65,000  €",,
centrs,Elizabetes 35,3,88,4/4,P. kara,"298,000  €",56.9577118,24.1116462
centrs,Krāsotāju 13,4,75,2/5,Renov.,"138,000  €",,
centrs,Brīvības 234,3,93,2/5,P. kara,"155,000  €",56.9537963,24.117328
Imanta,Jūrmalas g. 93,2,50,2/9,602.,"55,000  €",56.9529998,24.0165749
Ķengarags,Maskavas 250 K-1,2,42,4/5,Hrušč.,"38,000  €",56.9169978,24.173412465003317
Imanta,Zentenes 5,2,50,9/7,602.,"70,000  €",56.958028,24.00703663594565
Mežciems,Kaivas 33,2,64,2/4,Jaun.,580  €/mēn.,56.9571247,24.2475937
centrs,Vesetas 28,1,31,2/6,Hrušč.,200  €/mēn.,56.9638272,24.1219347
Iļģuciems,Spilves 3,2,50,1/2,Staļina,"52,000  €",56.97237245,24.06322575
Purvciems,Ūnijas 71,1,50,1/1,Specpr.,33  €/dienā,56.9646522,24.17990079562071
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,Hrušč.,"43,500  €",51.77014725,-1.2649910410071945
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,Hrušč.,"43,500  €",51.77014725,-1.2649910410071945
Mežaparks,Viestura pr. 67,2,46,1/5,Hrušč.,"43,500  €",,
Dārzciems,Lubānas 56a,3,64,4/9,602.,"66,600  €",56.931259,24.17695214668675
Teika,Brīvības 225A,3,46,1/5,Hrušč.,"84,900  €",56.9763625,24.174435889622824
Imanta,Slokas 205 а,3,73,3/5,LT proj.,"93,000  €",56.9624275,24.009397473206263
centrs,Tērbatas 83,1,26,3/5,P. kara,36  €/dienā,56.9600094,24.135120650000005
Teika,Zemitāna lauk. 2a,2,46,2/4,P. kara,250  €/mēn.,,
centrs,Mālpils 2a,1,30,4/5,Hrušč.,350  €/mēn.,56.9661797,24.1260801
Pļavnieki,Rudens 10,1,37,9/9,602.,320  €/mēn.,56.93775,24.200364407988285
centrs,Maskavas 57,2,64,1/3,P. kara,"58,888  €",56.94620965,24.13601347431321
Pļavnieki,Deglava 61,1,38,1/9,119.,250  €/mēn.,56.9449622,24.2172449
Teika,Brīvības 338,6,217,9/10,Jaun.,"256,789  €",56.9805118,24.192253
Ziepniekkalns,Tadaķu 9a,1,30,2/4,Hrušč.,"35,500  €",,
centrs,Stabu 2A,1,28,2/7,Jaun.,"95,500  €",56.95950995,24.121468824548547
Ķengarags,Ikšķiles 7,2,39,2/5,LT proj.,250  €/mēn.,56.9029905,24.20556722368033
Āgenskalns,Mārupes 8,1,25,2/4,P. kara,"49,000  €",56.9343008,24.0713936
Jugla,Vidzemes al. 6,2,36,5/5,Hrušč.,"37,000  €",56.9925634,24.2424634
Iļģuciems,Dagmāras 18,2,55,3/5,Specpr.,"45,000  €",56.9644513,24.062603165749405
centrs,Miera 5,3,73,2/6,P. kara,750  €/mēn.,56.9605921,24.1292334
Āgenskalns,Kalnciema 1,1,28,5/5,Hrušč.,230  €/mēn.,56.9455951,24.0773867
Pļavnieki,Zemes 11,3,63,7/9,602.,"60,000  €",56.9426526,24.20069179999998
centrs,Avotu 76,2,55,2/3,Renov.,350  €/mēn.,56.9532872,24.1467287
centrs,Čaka 26,1,26,5/6,Renov.,"73,400  €",56.95148825,24.127844387101327
Ziepniekkalns,Valdeķu 13 k-2,2,48,3/3,Hrušč.,"39,700  €",56.9165554,24.095990344448275
centrs,Čaka 26,2,40,2/6,P. kara,"105,920  €",56.95148825,24.127844387101327
Purvciems,Madonas 23,2,61,16/16,Specpr.,"60,900  €",56.9611283,24.171955631006007
Daugavgrīva,Birzes 40,2,53,2/5,103.,"37,900  €",57.0372628,24.02827980616405
Dārzciems,Nīcgales 46,2,51,1/9,602.,"53,500  €",56.9458973,24.1712335
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,P. kara,"72,000  €",51.77014725,-1.2649910410071945
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,P. kara,"72,000  €",51.77014725,-1.2649910410071945
centrs,Brīvības 114,2,55,1/6,P. kara,"72,000  €",56.9619771,24.1348346
Teika,Brīvības 215,2,40,2/4,Renov.,550  €/mēn.,56.975238,24.172448948187675
Grīziņkalns,Pērnavas 35,1,22,4/4,P. kara,160  €/mēn.,56.95597335,24.153355082355397
Purvciems,Deglava 53,3,76,2/9,119.,"68,000  €",56.9518031,24.165962
Imanta,Dammes 40,1,32,6/12,602.,330  €/mēn.,56.96480225,24.01540034907656
Sarkandaugava,Ceļinieku 12,1,22,2/2,P. kara,"14,000  €",56.996822050000006,24.12806361327168
Čiekurkalns,Čiekurkalna 3. šķ l. 2,2,45,2/2,Renov.,280  €/mēn.,,
Āgenskalns,Āgenskalna,2,-,-,-,vēlosīret ,56.9448413,24.0636243
centrs,Valdemāra 106,1,37,3/5,Staļina,"70,000  €",56.9565184,24.1138584
centrs,Ieroču 1,4,108,1/5,Staļina,"115,000  €",,
Mežaparks,Ķempes 7,2,50,3/9,Specpr.,320  €/mēn.,56.99493145,24.16819210671665
Zolitūde,Ruses 14,3,79,2/9,119.,600  €/mēn.,56.9472328,24.00428119416181
centrs,Matīsa 89a,3,80,2/5,P. kara,"85,000  €",56.9564621,24.134618
centrs,Mastu 2,1,29,4/5,Hrušč.,350  €/mēn.,,
Krasta r-ns,Maskavas 190,2,41,2/9,Jaun.,570  €/mēn.,,
centrs,Tērbatas 59/61,4,98,3/6,P. kara,"310,000  €",56.9578128,24.1300556
centrs,Laboratorijas 4,3,67,2/5,Renov.,"106,500  €",,
centrs,Laboratorijas 4,4,67,2/5,Renov.,"94,500  €",,
Grīziņkalns,Asara 9,2,62,2/7,Jaun.,"159,000  €",56.95631345,24.153860471105737
Sarkandaugava,Tvaika 54-4,3,72,1/5,Specpr.,"43,000  €",57.0104416,24.1245318
centrs,Ieroču 6,1,20,1/2,P. kara,"13,780  €",,
centrs,Stabu 61,4,80,3/5,P. kara,"117,000  €",56.9533511,24.1348825
centrs,Stabu 61,3,80,3/5,P. kara,"117,000  €",56.9533511,24.1348825
centrs,Brīvības 102,3,66,3/5,P. kara,470  €/mēn.,56.9611091,24.1332306
Ziepniekkalns,Bauskas 158,1,25,1/2,P. kara,"11,890  €",56.9137741,24.1192507
Ziepniekkalns,Ziepniekkalna 75,3,78,1/4,Jaun.,"189,000  €",56.901134,24.133145
Maskavas priekšpilsēta,Daugavpils 49,2,56,4/5,P. kara,"56,900  €",,
centrs,Avotu 7,3,116,2/5,P. kara,"198,000  €",57.39384895,21.552568526900583
Sarkandaugava,Viestura pr. 43,2,45,2/9,Specpr.,"39,500  €",,
Mangaļsala,Bākas 19,2,62,2/5,Specpr.,"29,500  €",57.05285615,24.069736662362104
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,LT proj.,"37,900  €",51.77014725,-1.2649910410071945
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,LT proj.,"37,900  €",51.77014725,-1.2649910410071945
Ķengarags,Glūdas 8,1,36,4/5,LT proj.,"37,900  €",56.912411500000005,24.174237413044736
centrs,Barona 80,2,45,1/5,P. kara,"73,000  €",56.957651600000005,24.134578988114114
Pļavnieki,J. Vācieša 8,2,51,9/9,602.,"58,990  €",,
Purvciems,Viršu 1,3,79,3/9,119.,"107,000  €",56.95277615,24.176513679515224
Ķengarags,Prūšu 42,2,44,3/4,Specpr.,"34,000  €",56.90991145,24.194353321605504
Jaunciems,Jaunciema g. 159,1,25,2/3,P. kara,"15,850  €",57.0473198,24.1756587
Ziepniekkalns,Ozolciema 24k-1,1,46,3/10,119.,"49,000  €",56.89929115,24.089261979035754
Ķengarags,Ķengaraga 7,3,62,2/5,LT proj.,"63,000  €",56.91540865,24.169417552058327
Iļģuciems,Skodas 4,2,47,3/5,LT proj.,"45,000  €",56.971073700000005,24.05275417573119
Sarkandaugava,Sīmaņa 11 k-1,2,54,4/4,Hrušč.,"50,000  €",56.99413505,24.13038536666287
Sarkandaugava,Sarkandaugavas 11,2,42,4/5,Hrušč.,290  €/mēn.,56.99898215,24.12328767499813
Jugla,Umurgas 26,2,42,1/5,LT proj.,"38,000  €",56.9838331,24.2455255
Purvciems,Purvciema 50,1,40,5/5,M. ģim.,"32,500  €",56.9545273,24.185579127051785
centrs,Stabu 116,2,31,3/5,P. kara,"77,500  €",56.9599606,24.1209763
Bolderāja,Stagaru 4,1,36,2/5,Specpr.,"41,000  €",57.02965155,24.035975194523694
centrs,Eksporta 16,2,42,3/5,Hrušč.,"56,000  €",56.9593516,24.0983542
Maskavas priekšpilsēta,Daugavpils 49,3,68,4/5,P. kara,"45,000  €",,
centrs,Stabu 100,2,74,1/7,Jaun.,"155,000  €",56.9599606,24.1209763
Ķengarags,Maskavas 409,4,76,3/5,Specpr.,"70,000  €",56.900881600000005,24.202540571699
Ķengarags,Maltas 17,1,28,5/5,LT proj.,"27,200  €",56.9107921,24.18530885722308
centrs,Zirņu 8,2,42,3/5,Hrušč.,360  €/mēn.,,
centrs,Matīsa 63,2,46,5/7,Renov.,"102,600  €",56.95417925,24.13994026860536
Pļavnieki,Rudens 8,1,32,9/9,602.,"36,500  €",56.937662,24.19829488500103
centrs,Matīsa 63,2,34,4/7,Renov.,"76,095  €",56.95417925,24.13994026860536
centrs,Matīsa 63,2,46,4/7,Renov.,"103,455  €",56.95417925,24.13994026860536
centrs,Eksporta 2,2,60,2/5,Staļina,"175,000  €",56.9560744,24.09884523604905
Iļģuciems,Dzirciema 24a,1,43,2/5,M. ģim.,225  €/mēn.,56.9654495,24.0569372
centrs,Čaka 130A,1,32,1/5,P. kara,320  €/mēn.,56.9513692,24.127201
centrs,Brīvības 112,2,67,2/6,P. kara,320  €/mēn.,56.96165695,24.13460929754464
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,LT proj.,"38,000  €",51.77014725,-1.2649910410071945
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,LT proj.,"38,000  €",51.77014725,-1.2649910410071945
Vecmīlgrāvis,Kāvu 4,1,27,4/5,LT proj.,"38,000  €",57.0331188,24.100459327776196
Torņakalns,Akmeņu 18,2,48,2/3,Specpr.,"91,000  €",56.93946145,24.09667379719525
centrs,Hospitāļu 19,3,76,4/4,P. kara,"165,000  €",,
Zolitūde,Anniņmuižas 4,2,57,2/16,104.,"78,000  €",56.94684925,24.00983524281463
Purvciems,Ieriķu 33,3,57,1/5,LT proj.,"51,000  €",56.96659235,24.17867620470278
Mangaļsala,Bākas 19,1,40,1/5,LT proj.,"36,000  €",57.05285615,24.069736662362104
Teika,Ieriķu 28a,3,101,5/5,Jaun.,"231,000  €",56.9650725,24.171767130052803
Cits,Rūpniecības 27,2,56,2/7,Jaun.,"1,030  €/mēn.",,
centrs,Čaka 31,2,58,3/5,P. kara,400  €/mēn.,56.951845,24.1269283
Vecrīga,Aspazijas bulv. 30,2,36,2/5,P. kara,550  €/mēn.,,
Ziepniekkalns,Bauskas 97,4,67,2/4,Jaun.,"153,900  €",56.9132438,24.1176792
centrs,Vīlandes 15,2,54,4/5,Specpr.,"96,000  €",56.9617996,24.101865
Ziepniekkalns,Bauskas 97,2,48,2/4,Jaun.,"104,900  €",56.9132438,24.1176792
Ziepniekkalns,Bauskas 97,3,64,4/5,Jaun.,"148,900  €",56.9132438,24.1176792
centrs,Tallinas 35,2,50,3/5,P. kara,550  €/mēn.,56.9624912,24.13831886843282
Imanta,Slokas 130A/1,2,56,7/8,Jaun.,550  €/mēn.,56.961725,24.0431452
Āgenskalns,Atpūtas 1,2,55,3/3,Staļina,"76,800  €",56.93680725,24.05821689676796
centrs,Matīsa 59,1,25,4/5,P. kara,250  €/mēn.,56.95442225,24.13942675
centrs,Brīvības 112,5,123,5/5,P. kara,"169,000  €",56.96165695,24.13460929754464
Ziepniekkalns,Ozolciema 18,2,60,1/9,119.,"59,500  €",56.89859735,24.08767077416605
Purvciems,Dzelzavas 67,3,59,4/9,467.,"70,000  €",56.95629695,24.196862459269703
centrs,Pulkv. Brieža 35,3,84,7/7,Jaun.,830  €/mēn.,,
centrs,Pētersalas 9,2,45,2/4,P. kara,35  €/dienā,,
Purvciems,Brantkalna 10,3,75,3/6,119.,"75,000  €",56.9496002,24.192854734276537
centrs,Lāčplēša 53,2,36,1/5,Renov.,"99,981  €",56.9523213,24.130212963747603
centrs,Zaļā 4,4,107,3/7,Specpr.,"259,000  €",56.9592107,23.1658579
Bolderāja,Kvarca 3,1,19,1/2,Renov.,200  €/mēn.,57.02894,24.040738724341587
Pļavnieki,Ulbrokas 12/3,3,95,7/10,Jaun.,"204,000  €",56.9405859,24.2157801
Iļģuciems,Vaidelotes 21,2,42,1/5,Hrušč.,250  €/mēn.,56.96737265,24.049364277732398
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,Jaun.,"298,000  €",51.77014725,-1.2649910410071945
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,Jaun.,"298,000  €",51.77014725,-1.2649910410071945
centrs,Čaka 142,5,136,4/6,Jaun.,"298,000  €",56.9513692,24.127201
Imanta,Kurzemes pr. 96,1,30,5/5,LT proj.,"32,000  €",,
Jugla,Juglas 23,2,47,5/5,Hrušč.,330  €/mēn.,56.98386715,24.24852793688924
Čiekurkalns,Čiekurkalna 2. l. 49a,3,81,2/4,Jaun.,"139,500  €",56.9834267,24.1658176
Zolitūde,Lejiņa 20,1,46,1/9,119.,"55,000  €",56.946790500000006,24.02163402536427
centrs,Barona 10,3,85,5/5,P. kara,650  €/mēn.,56.9502301,24.1195455
Āgenskalns,Slokas 18 C,5,158,1/2,P. kara,"95,000  €",56.9472348,24.07416718043554
Maskavas priekšpilsēta,Grēdu 1,2,42,1/5,Hrušč.,"38,000  €",,
Imanta,Dammes 11,2,50,4/9,602.,270  €/mēn.,56.9615604,24.011811415811447
Teika,Bajāru 59,4,168,2/3,Specpr.,"335,000  €",56.971369,24.192236902641945
Ķengarags,Bultu 7,1,35,5/11,M. ģim.,"32,900  €",56.9104694,24.19618874998843
centrs,Barona 10,2,60,5/5,P. kara,450  €/mēn.,56.9502301,24.1195455
Pļavnieki,Salnas 7,3,63,5/9,602.,"55,000  €",56.942642500000005,24.22222013926563
centrs,Brīvības 108,1,37,5/6,P. kara,380  €/mēn.,56.96145645,24.133971103487063
Torņakalns,Satiksmes 3,2,56,5/6,Jaun.,550  €/mēn.,56.9271709,24.0923985
Jugla,Mārkalnes 5,1,17,1/5,M. ģim.,"18,500  €",56.992411700000005,24.22864482657527
Mežciems,Biķernieku 216,2,53,4/5,103.,"38,000  €",56.9599931,24.2286894
Daugavgrīva,Plēksnes 3,2,47,5/5,103.,"45,000  €",57.03997605,24.03086662811362
Iļģuciems,Dzirciema 61,3,58,6/9,467.,"63,000  €",56.96331115,24.05423811540512
Šampēteris-Pleskodāle,Volguntes 40,3,98,3/4,Jaun.,"250,000  €",56.9375738,24.037465450000006
Krasta r-ns,Kojusalas 17,2,48,12/12,Čehu pr.,440  €/mēn.,,
Maskavas priekšpilsēta,Ludzas 51,3,74,1/2,P. kara,"39,990  €",,
centrs,Martas 7,2,70,2/7,Jaun.,"232,000  €",56.9553717,24.1281063609436
Mežciems,Līduma 8a,2,78,1/5,Jaun.,"125,000  €",56.9731286,24.23227916778371
centrs,Maskavas 106,1,30,2/3,P. kara,350  €/mēn.,57.4025243,21.5704533
centrs,Maskavas 106,1,24,3/3,P. kara,350  €/mēn.,57.4025243,21.5704533
Ķengarags,Pelnu 1,2,50,3/9,467.,260  €/mēn.,56.9080231,24.199092101750992
Ķengarags,Maskavas 317,1,35,8/12,Čehu pr.,"36,000  €",56.9086945,24.1843373
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,Renov.,"112,000  €",51.77014725,-1.2649910410071945
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,Renov.,"112,000  €",51.77014725,-1.2649910410071945
Čiekurkalns,Inčukalna 2,2,47,3/5,Renov.,"112,000  €",,
Āgenskalns,Akmeņu 15,1,37,3/5,P. kara,250  €/mēn.,,
centrs,Elijas 5,4,75,1/4,P. kara,20  €/dienā,,
Čiekurkalns,Inčukalna 2,3,64,4/5,Renov.,"156,000  €",,
Ķengarags,Prūšu 4,4,100,4/5,Jaun.,"137,000  €",56.9146815,24.18146133464188
Teika,Brīvības,2,50,-,-,pērku ,56.9799862,24.1896503
centrs,Brīvības,2,50,-,P. kara,pērku ,56.9577732,24.1231148
Purvciems,Stirnu 48,1,43,1/5,M. ģim.,"36,000  €",56.9641619,24.1953046
