district,address,room_count,area,floors,house_type,price,latitude,longitude
Vecrīga,Kalēju 14,2,87,4/5,P. kara,750  €/mēn.,56.9483908,24.11070826217105
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,Renov.,"205,040  €",51.77014725,-1.2649910410071945
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,Renov.,"205,040  €",51.77014725,-1.2649910410071945
centrs,Brīvības 95,2,78,7/7,Renov.,"205,040  €",56.96131475,24.131717044166592
Vecmīlgrāvis,Baltāsbaznīcas 44,3,72,2/3,Specpr.,420  €/mēn.,57.0366979,24.0897398
centrs,Katrīnas 21,2,53,1/3,P. kara,"65,000  €",57.3961035,21.5695761
Purvciems,Deglava 59,3,77,2/6,119.,"83,500  €",56.9518031,24.165962
Purvciems,Zvaigznāja g. 14,2,50,3/5,LT proj.,"56,500  €",56.9528067,24.2062064
Mežaparks,Ezermalas 4/2,2,51,5/5,Specpr.,"58,000  €",56.9984019,24.1707634
centrs,Indrānu 1,3,52,3/4,P. kara,"94,300  €",,
Zolitūde,Gramzdas 17,3,75,5/9,119.,"68,500  €",56.944908600000005,24.00898897570804
Ķengarags,Višķu 19,1,30,4/5,LT proj.,"32,000  €",56.90032605,24.214265399999995
centrs,Barona 140,2,56,2/2,P. kara,200  €/mēn.,56.9541912,24.1272498
Teika,Ieriķu 60,2,50,7/9,Specpr.,310  €/mēn.,56.9656754,24.1716043
Ķengarags,Aviācijas 23 k1,1,31,6/12,Specpr.,"36,950  €",56.9039349,24.20031498142857
centrs,Ģertrūdes 62,2,40,5/6,P. kara,450  €/mēn.,56.9514154,24.1331187
Ķengarags,Salaspils 12/5,4,62,4/5,LT proj.,"90,000  €",56.9221101,24.1811252
