,district,address,room_count,area,floors,house_type,price,latitude,longitude,quadrant,price_psqm
422,Purvciems,Nīcgales 4,3,61.0,5/9,602.,72000.0,56.95855125,24.175387470071428,991.0,1180.327868852459
423,Ķengarags,Bultu 3,2,50.0,9/9,467.,46000.0,56.9078304,24.19045705057927,364.0,920.0
424,Pļavnieki,Rudens 8,3,62.0,1/9,602.,55000.0,56.937662,24.19829488500103,744.0,887.0967741935484
425,Vecmīlgrāvis,Stiebru 3,1,42.0,1/5,M. ģim.,23000.0,57.03437255,24.094572182456588,1920.0,547.6190476190476
426,Purvciems,Pūces 45,2,82.0,1/9,Jaun.,138000.0,56.9527733,24.190820384773847,931.0,1682.9268292682927
427,Purvciems,Purvciema 20,2,61.0,9/9,119.,82000.0,56.95319905,24.170301062500045,927.0,1344.2622950819673
428,Imanta,Slokas 187,2,50.0,4/9,602.,50000.0,56.96226365,24.01830471385544,1023.0,1000.0
429,Teika,Raunas 35/3,2,50.0,4/5,Specpr.,46000.0,56.9699511,24.1714582,1116.0,920.0
430,Purvciems,Kastrānes 1/2,1,26.0,3/5,Renov.,69000.0,56.9659974,24.1766569,1117.0,2653.846153846154
431,Pļavnieki,Kaudzīšu 24,1,32.0,1/9,602.,32500.0,56.939745,24.204337,745.0,1015.625
432,Ķengarags,Ķengaraga 5,1,30.0,4/5,LT proj.,36500.0,56.916055400000005,24.16974215241804,486.0,1216.6666666666667
433,Teika,Brīvības 236,2,60.0,5/5,Specpr.,79000.0,56.9738101,24.170066589282133,1179.0,1316.6666666666667
434,Imanta,Dammes 30,3,66.0,3/5,LT proj.,55900.0,56.9653262,24.011869486161416,1021.0,846.969696969697
435,Teika,Ūnijas 30,2,54.0,5/5,Specpr.,76450.0,56.96702145,24.17228684552264,1116.0,1415.7407407407406
436,Purvciems,Andromedas g. 5,1,28.0,5/5,LT proj.,30000.0,56.9604406,24.1986457,996.0,1071.4285714285713
